iter	Passed	Remaining
403	12029	17746
404	12056	17712
405	12080	17674
406	12097	17626
407	12118	17584
408	12155	17565
409	12183	17532
410	12216	17506
411	12236	17463
412	12275	17447
413	12297	17407
414	12314	17358
415	12331	17311
416	12347	17263
417	12364	17215
418	12381	17168
419	12397	17119
420	12413	17072
421	12428	17022
422	12443	16973
423	12458	16924
424	12474	16877
425	12491	16831
426	12507	16784
427	12525	16739
428	12557	16713
429	12576	16670
430	12592	16624
431	12608	16577
432	12624	16531
433	12639	16483
434	12651	16432
435	12664	16382
436	12679	16335
437	12697	16292
438	12717	16251
439	12731	16203
440	12744	16154
441	12759	16107
442	12775	16063
443	12790	16017
444	12803	15968
445	12819	15923
446	12834	15877
447	12848	15831
448	12859	15781
449	12877	15739
450	12890	15691
451	12906	15647
452	12927	15610
453	12941	15563
454	12954	15517
455	12971	15475
456	12993	15438
457	13021	15409
458	13045	15376
459	13068	15340
460	13090	15305
461	13116	15273
462	13134	15233
463	13154	15195
464	13174	15157
465	13193	15119
466	13210	15077
467	13230	15039
468	13249	15001
469	13267	14960
470	13285	14921
471	13301	14879
472	13316	14837
473	13334	14797
474	13347	14752
475	13362	14709
476	13377	14667
477	13392	14625
478	13407	14583
479	13422	14541
480	13443	14506
481	13464	14470
482	13478	14427
483	13494	14386
484	13508	14344
485	13524	14303
486	13541	14263
487	13557	14224
488	13572	14183
489	13586	14141
490	13600	14099
491	13614	14057
492	13629	14016
493	13645	13976
494	13659	13935
495	13671	13891
496	13684	13849
497	13699	13809
498	13713	13768
499	13727	13727
500	13740	13685
501	13752	13643
502	13767	13602
503	13780	13561
504	13798	13524
505	13813	13485
506	13827	13446
507	13846	13410
508	13868	13377
509	13884	13339
510	13898	13300
511	13912	13260
512	13926	13221
513	13941	13182
514	13957	13144
515	13975	13108
516	13991	13071
517	14004	13031
518	14017	12991
519	14031	12952
520	14045	12913
521	14059	12874
522	14073	12835
523	14088	12797
524	14100	12757
525	14110	12715
526	14126	12678
527	14141	12641
528	14156	12603
529	14170	12566
530	14186	12529
531	14202	12494
532	14216	12455
533	14227	12415
534	14242	12379
535	14259	12344
536	14286	12318
537	14312	12290
538	14325	12252
539	14340	12215
540	14356	12180
541	14373	12145
542	14386	12108
543	14400	12071
544	14415	12034
545	14431	12000
546	14448	11965
547	14466	11932
548	14481	11896
549	14497	11861
550	14512	11825
551	14528	11791
552	14538	11752
553	14554	11716
554	14570	11682
555	14584	11646
556	14597	11609
557	14614	11576
558	14633	11544
559	14648	11509
560	14665	11476
561	14683	11443
562	14706	11414
563	14719	11378
564	14733	11343
565	14748	11308
566	14765	11275
567	14781	11242
568	14797	11208
569	14809	11172
570	14822	11136
571	14832	11098
572	14849	11065
573	14867	11033
574	14879	10997
575	14893	10963
576	14907	10928
577	14920	10893
578	14931	10856
579	14945	10822
580	14963	10790
581	14979	10758
582	14992	10723
583	15006	10689
584	15021	10656
585	15035	10622
586	15047	10586
587	15061	10553
588	15077	10520
589	15103	10495
590	15136	10474
591	15153	10443
592	15178	10417
593	15205	10392
594	15225	10363
595	15242	10332
596	15268	10306
597	15286	10275
598	15303	10245
599	15318	10212
600	15333	10179
601	15346	10146
602	15358	10111
603	15375	10080
604	15399	10054
605	15415	10022
606	15429	9990
607	15441	9955
608	15454	9922
609	15470	9890
610	15486	9859
611	15501	9827
612	15519	9797
613	15543	9771
614	15559	9740
615	15575	9709
616	15592	9678
617	15611	9649
618	15632	9622
619	15662	9599
620	15677	9568
621	15698	9540
622	15717	9511
623	15734	9481
624	15753	9451
625	15765	9418
626	15778	9386
627	15792	9354
628	15809	9325
629	15828	9295
630	15842	9264
631	15858	9234
632	15871	9202
633	15881	9168
634	15895	9136
635	15913	9107
636	15938	9082
637	15957	9054
638	15976	9026
639	15991	8995
640	16008	8965
641	16024	8935
642	16038	8904
643	16054	8874
644	16069	8844
645	16082	8812
646	16093	8780
647	16109	8750
648	16124	8720
649	16139	8690
650	16156	8661
651	16171	8631
652	16185	8600
653	16201	8571
654	16214	8540
655	16230	8511
656	16244	8481
657	16260	8451
658	16274	8421
659	16289	8391
660	16306	8363
661	16325	8335
662	16346	8308
663	16364	8280
664	16379	8251
665	16394	8221
666	16410	8193
667	16425	8163
668	16437	8132
669	16451	8102
670	16467	8074
671	16484	8045
672	16502	8018
673	16516	7988
674	16531	7959
675	16547	7930
676	16561	7901
677	16576	7872
678	16592	7843
679	16605	7814
680	16619	7785
681	16632	7755
682	16656	7730
683	16672	7702
684	16688	7674
685	16704	7646
686	16715	7615
687	16730	7587
688	16762	7566
689	16822	7558
690	16898	7556
691	16952	7545
692	16967	7516
693	16984	7488
694	16994	7458
695	17007	7428
696	17021	7399
697	17036	7371
698	17047	7340
699	17061	7312
700	17075	7283
701	17089	7254
702	17102	7225
703	17114	7195
704	17126	7166
705	17140	7137
706	17159	7111
707	17175	7083
708	17199	7059
709	17213	7030
710	17224	7001
711	17239	6973
712	17252	6944
713	17267	6916
714	17283	6889
715	17296	6860
716	17307	6831
717	17321	6803
718	17336	6775
719	17351	6747
720	17367	6720
721	17384	6693
722	17397	6665
723	17412	6637
724	17425	6609
725	17440	6582
726	17452	6553
727	17471	6527
728	17484	6499
729	17499	6472
730	17512	6444
731	17549	6425
732	17575	6402
733	17604	6379
734	17616	6351
735	17631	6324
736	17645	6296
737	17659	6269
738	17680	6244
739	17706	6221
740	17730	6197
741	17745	6170
742	17761	6143
743	17781	6118
744	17801	6093
745	17828	6070
746	17845	6044
747	17864	6018
748	17887	5994
749	17909	5969
750	17936	5946
751	17954	5921
752	17972	5895
753	17989	5869
754	18008	5843
755	18034	5820
756	18049	5793
757	18063	5766
758	18080	5741
759	18097	5714
760	18112	5688
761	18125	5661
762	18139	5634
763	18153	5607
764	18169	5581
765	18185	5555
766	18201	5529
767	18216	5502
768	18231	5476
769	18245	5449
770	18256	5422
771	18273	5396
772	18287	5370
773	18301	5343
774	18314	5317
775	18328	5290
776	18341	5263
777	18352	5236
778	18368	5211
779	18382	5184
780	18403	5160
781	18425	5136
782	18448	5112
783	18463	5086
784	18476	5060
785	18491	5034
786	18506	5008
787	18518	4982
788	18533	4956
789	18547	4930
790	18562	4904
791	18575	4878
792	18588	4852
793	18604	4826
